Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_TFTV_PERSONNEL_NO_TRAIN_CANDIDATES,Text,,No personnel available to train.,,,,,,,,
KEY_TFTV_PERSONNEL_NO_DEPLOY_CANDIDATES,Text,,No personnel available to deploy.,,,,,,,,
KEY_TFTV_PERSONNEL_CANDIDATE_LEVEL,Text,,{0} (level {1}),,,,,,,,
KEY_TFTV_PERSONNEL_CANDIDATE_DISMISSED,Text,,"{0} - dismissed, {1} SP",,,,,,,,
KEY_TFTV_PERSONNEL_CANDIDATE_TRAINING,Text,,{0} - {1},,,,,,,,
KEY_TFTV_PERSONNEL_DIALOG_NOTICE,Text,,Notice,,,,,,,,
KEY_TFTV_PERSONNEL_DIALOG_CONFIRM,Text,,Confirm,,,,,,,,
KEY_TFTV_PERSONNEL_DIALOG_CLOSE,Text,,CLOSE,,,,,,,,
KEY_TFTV_PERSONNEL_DIALOG_YES,Text,,YES,,,,,,,,
KEY_TFTV_PERSONNEL_DIALOG_NO,Text,,NO,,,,,,,,
KEY_TFTV_PERSONNEL_CHOOSE_ACTION,Text,,Choose action for {0},,,,,,,,
KEY_TFTV_PERSONNEL_DEPLOY_NOW,Text,,Deploy now,,,,,,,,
KEY_TFTV_PERSONNEL_TRAIN_FIRST,Text,,"Train first ({0}, {1} slots free)",,,,,,,,
KEY_TFTV_PERSONNEL_TRAIN_FIRST_NO_SLOTS,Text,,Train first (no training slots available),,,,,,,,
KEY_TFTV_PERSONNEL_SELECT_BASE,Text,,Select deployment base,,,,,,,,
KEY_TFTV_PERSONNEL_SELECT_CLASS,Text,,Select class,,,,,,,,
KEY_TFTV_PERSONNEL_SELECT_LEVEL,Text,,Select training level,,,,,,,,
KEY_TFTV_PERSONNEL_NO_FACILITY_SLOT,Text,,No training facility slot available,,,,,,,,
KEY_TFTV_PERSONNEL_CLASS_UNKNOWN,Text,,Could not determine class for {0}.,,,,,,,,
KEY_TFTV_PERSONNEL_EARLY_DEPLOY,Text,,"Training incomplete for {0}.
Current level: {1}
SP refund: {2}",,,,,,,,
KEY_TFTV_PERSONNEL_EARLY_DEPLOY_REDEPLOY_COST,Text,,Redeploy cost: {0} SP,,,,,,,,
KEY_TFTV_PERSONNEL_EARLY_DEPLOY_CONFIRM,Text,,Deploy early?,,,,,,,,
KEY_TFTV_PERSONNEL_REDEPLOY_CONFIRM,Text,,Redeploy {0} to {1} for {2} shared skill points?,,,,,,,,
KEY_TFTV_PERSONNEL_NOT_ENOUGH_SP_REDEPLOY,Text,,"Not enough shared skill points to redeploy {0}.
Required: {1}
Available: {2}",,,,,,,,
KEY_TFTV_PERSONNEL_NOT_ENOUGH_SP,Text,,"Not enough shared skill points.
Required: {0}
Available: {1}",,,,,,,,
KEY_TFTV_PERSONNEL_ALREADY_MAX_LEVEL,Text,,{0} is already at level {1} and cannot train further.,,,,,,,,
KEY_TFTV_PERSONNEL_TRAIN_OPTION,Text,,"Level {0} - {1} SP - {2}
{3}",,,,,,,,
KEY_TFTV_PERSONNEL_TRAIN_OPTION_UNAFFORDABLE,Text,,"{0}
(Not enough SP)",,,,,,,,
KEY_TFTV_PERSONNEL_TRAIN_CONFIRM,Text,,"Train {0} as {1} to level {2}?
Cost: {3} SP ({4})
{5}",,,,,,,,
KEY_TFTV_PERSONNEL_TRAIN_CONFIRM_DISMISSED,Text,,This operative is dismissed. Completing training will clear the dismissed status.,,,,,,,,
KEY_TFTV_PERSONNEL_LIVING_QUARTERS_FULL,Text,,"Living quarters are full.
Build or repair a Living Quarters facility to assign more personnel to {0}.",,,,,,,,
KEY_TFTV_PERSONNEL_DUTY_RESEARCH,Text,,Research,,,,,,,,
KEY_TFTV_PERSONNEL_DUTY_MANUFACTURING,Text,,Manufacturing,,,,,,,,
KEY_TFTV_PERSONNEL_DUTY_TRAINING,Text,,Training,,,,,,,,
KEY_TFTV_PERSONNEL_ASSIGNMENT_TRAINING_QUEUED,Text,,Training (queued),,,,,,,,
KEY_TFTV_PERSONNEL_ASSIGNMENT_TRAINING_COMPLETE,Text,,Complete ({0}),,,,,,,,
KEY_TFTV_PERSONNEL_ASSIGNMENT_TRAINING_PROGRESS,Text,,"{0} (Lv {1}/{2}, {3})",,,,,,,,
KEY_TFTV_PERSONNEL_CLASS_FALLBACK,Text,,Class,,,,,,,,
KEY_TFTV_PERSONNEL_DOSSIER_ABILITIES,Text,,ABILITIES AND PERKS,,,,,,,,
KEY_TFTV_PERSONNEL_DOSSIER_STORAGE,Text,,RETURNED TO STORAGE,,,,,,,,
KEY_TFTV_PERSONNEL_DOSSIER_NONE,Text,,none,,,,,,,,
KEY_TFTV_PERSONNEL_DOSSIER_NOTHING,Text,,nothing,,,,,,,,
KEY_TFTV_PERSONNEL_DOSSIER_NO_CLASS,Text,,No class,,,,,,,,
KEY_TFTV_PERSONNEL_DOSSIER_SP,Text,,SP,,,,,,,,
KEY_TFTV_PERSONNEL_DOSSIER_XP,Text,,XP,,,,,,,,
KEY_TFTV_PERSONNEL_DOSSIER_SP_TOOLTIP,Text,,Skill points this operative has to spend on their own abilities.,,,,,,,,
KEY_TFTV_PERSONNEL_DOSSIER_XP_TOOLTIP,Text,,Experience earned so far.,,,,,,,,
KEY_TFTV_PERSONNEL_STAT_STRENGTH,Text,,Strength,,,,,,,,
KEY_TFTV_PERSONNEL_STAT_WILLPOWER,Text,,Willpower,,,,,,,,
KEY_TFTV_PERSONNEL_STAT_SPEED,Text,,Speed,,,,,,,,
KEY_TFTV_PERSONNEL_STAT_PERCEPTION,Text,,Perception,,,,,,,,
KEY_TFTV_PERSONNEL_STAT_ACCURACY,Text,,Accuracy,,,,,,,,
KEY_TFTV_PERSONNEL_STAT_STEALTH,Text,,Stealth,,,,,,,,
KEY_TFTV_PERSONNEL_STAT_DELIRIUM,Text,,Delirium,,,,,,,,
KEY_TFTV_PERSONNEL_STAT_NOTE_TRAINED,Text,,Current value against the highest this operative can reach.,,,,,,,,
KEY_TFTV_PERSONNEL_STAT_NOTE_TRAINING,Text,,The figure in brackets is what this training would leave them with.,,,,,,,,
KEY_TFTV_PERSONNEL_STAT_NOTE_PERCEPTION,Text,,Sight range added by armour and passive abilities.,,,,,,,,
KEY_TFTV_PERSONNEL_STAT_NOTE_ACCURACY,Text,,Accuracy added by armour and passive abilities.,,,,,,,,
KEY_TFTV_PERSONNEL_STAT_NOTE_STEALTH,Text,,Stealth added by armour and passive abilities.,,,,,,,,
KEY_TFTV_BASE_ACTIVATION_FAILED,Text,,"Cannot start this action. Check resources, personnel, and site state.",,,,,,,,
KEY_TFTV_BASE_AMBUSH_CHANCE,Text,,Ambush chance during base exploration,,,,,,,,
KEY_TFTV_BASE_RANSACK_PAYOUT,Text,,"You gained from ransacking: {0} Materials, {1} Tech.",,,,,,,,
KEY_TFTV_BASE_LOOT_RANDOM_EQUIPMENT,Text,,Random equipment,,,,,,,,
KEY_TFTV_BASE_TRAINING_NO_STAT_GAINS,Text,,No stat gains,,,,,,,,
KEY_TFTV_BASE_TRAINING_STAT_GAINS,Text,,+{0} STR / +{1} WP / +{2} SPD,,,,,,,,
KEY_TFTV_BASE_FALLEN_HEADER,Text,,FALLEN OPERATIVES,,,,,,,,
KEY_TFTV_BASE_FALLEN_PROJECT_OSIRIS,Text,,Preparing for PROJECT OSIRIS,,,,,,,,
KEY_TFTV_BASE_FALLEN_MISSIONS_KILLS,Text,,Missions: {0}  |  Kills: {1},,,,,,,,
KEY_TFTV_BASE_FALLEN_FAVOURITE_WEAPON,Text,,Favorite Weapon: {0},,,,,,,,
KEY_TFTV_BASE_FALLEN_FAVOURITE_SKILL,Text,,Favorite Skill: {0},,,,,,,,
KEY_TFTV_BASE_FALLEN_SP_RETURNED,Text,,SP Returned: {0},,,,,,,,
