Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_DLC3_TUT_RAID_DESCRIPTION,Text,,"A Pandoran flyer has separated itself from the Festering Skies. It may come upon a haven and attack it. If the haven is not yet revealed, it will send an SOS disclosing its postion. 

Should the stray Pandoran flyer return to the swarm, the haven will be targeted by the Behemoth. Once a haven is targeted for attack, nothing can be done to prevent it: once the Behemoth reaches the haven, it will damage all its facilities and harvest about half of its population. 

Destroy Pandoran flyers to protect the havens, to colllect rewards from factions and to force the Behemoth to submerge.","潘朵拉飛行器已經脫離了潰爛的天空。它可能會來到避難所並攻擊它。如果尚未透露避難所，它將發送 SOS 來透露其位置。 
 
 如果流浪的潘朵拉飛行者返回蜂群，避難所將成為巨獸的目標。一旦避難所成為攻擊目標，就無法阻止它：一旦巨獸到達避難所，它就會破壞避難所的所有設施，並奪取避難所約一半的人口。 
 
 摧毀潘朵拉傳單以保護避難所，從派系收集獎勵並迫使巨獸淹沒。","Un chasseur pandorien s'est séparé du ciel fétide. Il peut tomber sur un refuge et l'attaquer. Si le refuge n'a pas encore été révélé, il enverra un SOS indiquant sa position.

Si l'aéronef pandorien errant retourne dans l'essaim, le refuge sera pris pour cible par le Béhémoth. Une fois qu'un refuge est visé par une attaque, rien ne peut être fait pour l'empêcher : une fois que le Béhémoth aura atteint le refuge, il endommagera toutes ses installations et récoltera environ la moitié de sa population.

Détruisez les pandoriens volants pour protéger les refuges, pour collecter les récompenses des factions et pour forcer le Béhémoth à s'immerger.",,,,"Пандоранский летун отделился от ""Гнойного Неба"". Он может наткнуться на убежище и атаковать его. Если убежище еще не обнаружено, оно отправит сигнал SOS со своими координатами.

Если заблудившийся летун Пандоранов вернется обратно в рой, к убежищу направится Бегемот. Предотвратить его нападение невозможно: как только Бегемот доберется до убежища, он повредит все его объекты и уничтожит около половины его населения.

Уничтожайте летунов Пандоранов, чтобы защищать убежища, получать награды от фракций и заставить Бегемота уйти под воду пораньше.",,
KEY_DLC3_TUT_RAID_NAME,Text,,PANDORAN FLYER,潘多蘭傳單,PANDORIEN VOLANT,,,,ПАНДОРАНСКИЙ ЛЕТУН,,
KEY_DLC3_TUT_RECON_DESCRIPTION,Text,,"A Pandoran flyer has separated itself from the Festering Skies. It may come upon a haven and attack it. If the haven is not yet revealed, it will send an SOS disclosing its postion. 

Should the stray Pandoran flyer return to the swarm, the haven will be targeted by the Behemoth. Once a haven is targeted for attack, nothing can be done to prevent it: once the Behemoth reaches the haven, it will damage all its facilities and harvest about half of its population. 

Destroy Pandoran flyers to protect the havens, to colllect rewards from factions and to force the Behemoth to submerge.","潘朵拉飛行器已經脫離了潰爛的天空。它可能會來到避難所並攻擊它。如果尚未透露避難所，它將發送 SOS 來透露其位置。 
 
 如果流浪的潘朵拉飛行者返回蜂群，避難所將成為巨獸的目標。一旦避難所成為攻擊目標，就無法阻止它：一旦巨獸到達避難所，它就會破壞避難所的所有設施，並奪取避難所約一半的人口。 
 
 摧毀潘朵拉傳單以保護避難所，從派系收集獎勵並迫使巨獸淹沒。","Un chasseur pandorien s'est séparé du ciel fétide. Il peut tomber sur un refuge et l'attaquer. Si le refuge n'a pas encore été révélé, il enverra un SOS indiquant sa position.

Si l'aéronef pandorien errant retourne dans l'essaim, le refuge sera pris pour cible par le Béhémoth. Une fois qu'un refuge est visé par une attaque, rien ne peut être fait pour l'empêcher : une fois que le Béhémoth aura atteint le refuge, il endommagera toutes ses installations et récoltera environ la moitié de sa population.

Détruisez les pandoriens volants pour protéger les refuges, pour collecter les récompenses des factions et pour forcer le Béhémoth à s'immerger.",,,,"Пандоранский летун отделился от ""Гнойного Неба"". Он может наткнуться на убежище и атаковать его. Если убежище еще не обнаружено, оно отправит сигнал SOS со своими координатами.

Если заблудившийся летун Пандоранов вернется обратно в рой, к убежищу направится Бегемот. Предотвратить его нападение невозможно: как только Бегемот доберется до убежища, он повредит все его объекты и уничтожит около половины его населения.

Уничтожайте летунов Пандоранов, чтобы защищать убежища, получать награды от фракций и заставить Бегемота уйти под воду пораньше.",,
KEY_DLC3_TUT_RECON_NAME,Text,,PANDORAN FLYER,潘多蘭傳單,PANDORIEN VOLANT,,,,ПАНДОРАНСКИЙ ЛЕТУН,,
KEY_DLC3_TUT_BEHEMOTH_DISRUPTION_DESCRIPTION,Text,,"The Behemoth harvests all the biomass it encounters on its path, showing particular predilection for human havens. Any haven visited by a Pandoran flyer that successfully returns to the Festering Skies will be targeted for harvesting by the Behemoth. Once the Behemoth has collected enough biomass, it will submerge in the ocean. It will emerge again at a different point, sometimes fielding stronger flyers. 

The Behemoth will submerge sooner if it is able to harvest havens or if its harvesting operations are disrupted. The Behemoth will gain Disruption Points (DP) when:
- a haven is harvested (1 DP)
- a Pandoran flyer is destroyed (1 DP if Charun, 2 DP if Berith, and 4 DP if Abaddon)
- a Node is destroyed (5 DP)

Once the Disruption Threshold is reached, the Behemoth will go back to the ocean.","巨獸收集其途中遇到的所有生物質，表現出對人類避難所的特別偏好。任何成功返回潰爛天空的潘朵拉飛人所到過的避難所都將成為巨獸收割的目標。一旦巨獸收集了足夠的生物量，它就會淹沒在海洋中。它會在不同的時間點再次出現，有時會派出更強的傳單。 
 
 如果巨獸能夠捕獲避難所或捕獲作業受到干擾，它會更快地淹沒。巨獸將在以下情況下獲得乾擾點 (DP)： - 避難所被收穫 (1 DP) - 潘多拉飛行器被摧毀（如果查倫則為 1 DP，如果貝里斯則為 2 DP，如果阿巴頓則為 4 DP） - 節點被摧毀 (5 DP) 一旦達到海洋閾值，巨獸將返回海洋閾值，巨獸將返回海洋。","Le Béhémoth récolte toute la biomasse qu'il rencontre sur son chemin, montrant une prédilection particulière pour les refuges humains. Tout refuge visité par un aéronef pandorien qui réussit à retourner dans le ciel fétide sera ciblé pour être récolté par le Béhémoth. Une fois que le Béhémoth aura collecté suffisamment de biomasse, il s'immergera dans l'océan. Il en ressortira à un autre endroit, avec parfois des aéronefs plus puissants.

Le Béhémoth s'immergera plus tôt s'il est capable de récolter des refuges ou si ses opérations de récolte sont perturbées. Le Béhémoth gagne des points de perturbation (PD) lorsque :
- un refuge est récolté (1 PD)
- un pandorien volant est détruit (Charun : 1 PD, Berith : 2 PD, et Abaddon : 4 PD)
- un nœud de corruption est détruit (5 PD)

Une fois le seuil de perturbation atteint, le Béhémoth retourne dans l'océan.",,,,"Бегемот собирает всю биомассу, которую встречает на своем пути, проявляя особую любовь к убежищам людей. Любое убежище, посещенное Пандоранским летуном, который успешно вернется в ""Гнойное Небо"", подвергнется нападению Бегемота. Как только Бегемот соберет достаточное количество биомассы, он погрузится в океан. Потом он снова всплывет в другом месте, иногда в окружении более сильных летунов.

Бегемот уйдет под воду раньше, если ему удастся собрать урожай биомассы в убежищах или если ему помешают. Бегемот получит Очки Разрушения (ОР), когда:
- атаковано убежище (1 ОР)
- уничтожен Пандоранский летун (1 ОР для Харуна, 2 ОР для Берита и 4 ОР для Абаддона)
- уничтожен Узел Порчи (5 ОР)

Как только будет достигнут предел Очков Разрушения, Бегемот вернется в океан.",,
KEY_DLC3_TUT_BEHEMOTH_DISRUPTION_NAME,Text,,BEHEMOTH BEHAVIOR,龐然大物的行為,COMPORTEMENT DU BEHEMOTH,,,,ПОВЕДЕНИЕ БЕГЕМОТА,,
KEY_DLC3_TUT_BEHEMOTH_DESCRIPTION,Text,,"The Behemoth will inexorably attack any haven that has been visited by a Pandoran flyer that has successfully returned to the Festering Skies. Once the Behemoth reaches the haven, it will harvest about half of its population and severely damage all of its facilities. To prevent Behemoth's attacks on havens, destroy all Pandoran flyers.",巨獸將無情地攻擊成功返回潰爛天空的潘朵拉飛行者所造訪的任何避難所。一旦巨獸到達避難所，它就會捕食避難所大約一半的人口，並嚴重破壞避難所的所有設施。為了防止巨獸攻擊避難所，請摧毀所有潘朵拉傳單。,"Le Béhémoth attaquera inexorablement tout refuge qui a été visité par un pandorien volant qui a réussi à retourner dans le ciel fétide. Une fois que le Béhémoth aura atteint le refuge, il récoltera environ la moitié de sa population et endommagera gravement toutes ses installations. Pour empêcher les attaques du Béhémoth sur les refuges, détruisez tous les pandoriens volants.",,,,"Бегемот будет неумолимо атаковать любое убежище, которое посетил Пандоранский летун, успешно вернувшийся в ""Гнойное Небо"". Как только Бегемот достигнет убежища, он уничтожит около половины его населения и нанесет серьезный ущерб всем его объектам. Чтобы предотвратить нападения Бегемота на убежища, уничтожайте всех Пандоранских летунов.",,
KEY_TUTORIAL_DLC2_ANCIENT_SITE_DESCRIPTION,Text,,"Send an aircraft to set up an Exploration operation at the site. Once Exploration starts, the presence of aircraft is no longer needed.",派遣一架飛機到現場進行勘探作業。一旦探索開始，就不再需要飛機的存在。,,,,,"Пошлите самолет для исследования этих Руин. Как только исследование начнется, присутствие самолета больше не потребуется.",,
KEY_TUTORIAL_DLC2_EXCAVATION_DONE_NAME,Text,,We've completed our first ancient site Exploration!,我們已經完成了第一個古蹟探索！,,,,,Мы завершили нашу первую разведку Руин Древних!,,
KEY_TUTORIAL_DLC2_HARVESITNG_DESCRIPTION,Text,,"In TFTV, you immediately gain some amount of an exotic resource when you take control of an ancient site from the Automata. The amount of resources depends on type of resource and difficulty level, or alternatively the manual setting used in the Mod config. ",在 TFTV 中，當您從自動人形中控制古代遺址時，您會立即獲得一定數量的奇異資源。資源量取決於資源類型和難度級別，或 Mod 配置中使用的手動設定。,,,,,"В TFTV вы сразу же получаете некоторое количество Экзотических Материалов, когда забираете у Роботов контроль над Руинами Древних. Количество ресурсов зависит от типа ресурса и уровня сложности, или, в качестве альтернативы, от соответствующей настройки, используемой в конфигурации мода.",,
KEY_TUTORIAL_DLC2_HARVESITNG_NAME,Text,,ANCIENT SITE,古遺址,,,,,РУИНЫ ДРЕВНИХ,,
KEY_TUTORIAL_DLC2_REFINERY_DESCRIPTIOY,Text,,"In TFTV, you immediately gain some amount of an exotic resource when you take control of an ancient site from the Automata. The amount of resources depends on type of resource and difficulty level, or alternatively the manual setting used in the Mod config. ",在 TFTV 中，當您從自動人形中控制古代遺址時，您會立即獲得一定數量的奇異資源。資源量取決於資源類型和難度級別，或 Mod 配置中使用的手動設定。,,,,,"В TFTV вы сразу же получаете некоторое количество Экзотических Материалов, когда забираете у Роботов контроль над Руинами Древних. Количество ресурсов зависит от типа ресурса и уровня сложности, или, в качестве альтернативы, от соответствующей настройки, используемой в конфигурации мода.",,
KEY_TUTORIAL_DLC2_REFINERY_NAME,Text,,ANCIENT SITE,古遺址,,,,,РУИНЫ ДРЕВНИХ,,
KEY_TUTORIAL_DLC2_ARCHEOLOGY_NAME,Text,,We've completed our Archaeology Lab!,我們已經完成考古實驗室了！,,,,,Мы завершили работу над нашей археологической лабораторией!,,
HINT_HOSTILE_DEFENDERS_TITLE,Text,,Hostile haven defenders,敵對的避難所捍衛者,,,,,Охрана убежища против нас,,
HINT_HOSTILE_DEFENDERS_TEXT,Text,,"<i>""Come to rescue us, have they? They are the ones who brought the damn critters on us in the first place! Fragging nerds…""</i>

While this Void Omen is in effect, haven defenders will be hostile to you and attack your operatives on sight, but <b>killing them is not required to win the mission</b>.

Gain XP by protecting structures or civilians as usual.

You can loot crates with faction weapons, but only the equipment in your operatives or vehicles inventory will be recovered.",<i>「他們來救我們了，是嗎？他們是先把這些該死的生物帶到我們身上的人！這些討厭的書呆子？</i>,,,,,"<i>""Они пришли, чтобы спасти нас? Как бы не так! Они - это те, кто сначала натравил на нас этих чертовых тварей! Чертовы ублюдки...""</i>

Пока действует это Знамение Пустоты, защитники убежища будут настроены враждебно по отношению к вам и нападут на ваших бойцов, как только увидят их, но для победы в миссии не обязательно их убивать.

Получайте опыт, защищая строения или гражданских лиц, как обычно.

Вы можете разграбить ресурсные ящики с оружием фракции, но унести сможете лишь то, что будет сложено в инвентарь ваших бойцов и машин.",,
HINT_FIRE_QUENCHER_TITLE,Text,,Fire Quencher,滅火劑,,,,,Живой Огнетушитель,,
HINT_FIRE_QUENCHER_TEXT,Text,,"<i>“There was nothing special about this one… Here comes the bisque, I thought… Boy was I wrong.”</i>

Some Arthrons have evolved the ability to instantly quench the fire they come in contact with, replacing it with Mist. They are apparently doing this by spraying some biochemical compound  from their <b>heads</b>. Disabling their heads should remove both their immunity to fire and their ability to quench it.",<i>？ 這沒什麼特別的？他們顯然是透過從他們的<b>頭上噴灑一些生化化合物來做到這一點的。禁用他們的頭部應該會消除他們對火的免疫力和撲滅火的能力。,,,,,"<i>""В этой твари не было ничего особенного... Сейчас нафарширую, подумал я тогда. Боже, как же я ошибался...""</i>

Некоторые Артроны развили способность мгновенно гасить огонь, с которым они соприкасаются, заменяя его Туманом. Очевидно, они делают это, распыляя какое-то биохимическое вещество из своих голов. Выбитая голова должна лишить их невосприимчивости к огню и способности гасить его.",,
