Key,Type,Desc,English
TFTV_INCIDENT_35_OUTCOME_1_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 500 Research","Cross-referencing the fragment’s structure against Phoenix and Synedrion archives reveals disturbing parallels. Internal lattice patterns echo those found in aquatic Pandoran organisms, optimized for distributing extreme mass. The scale is unprecedented. There is no clear lineage match, only recurring design principles."
TFTV_INCIDENT_35_OUTCOME_0_FAIL,Text,,"The anatomy is unfamiliar, but certain features echo Pandoran traits. Nothing conclusive—but enough to raise concern. One Synedrion biologist quietly requested access to our Pandoran archives."
TFTV_INCIDENT_35_OUTCOME_1_FAIL,Text,,"Scans showed no clear biological lineage, but the density and shape align loosely with aquatic Pandoran designs. One expedition member commented, ‘It’s like we found the bones of something we haven’t met yet.’"
TFTV_INCIDENT_36_TITLE_SY,Text,,Voting Error
TFTV_INCIDENT_36_DESC,Text,,"Director, the [HavenName] administration council has asked us to intervene in an electoral crisis. The haven’s civic AI registered a sweeping victory for a candidate who wasn’t even on the ballot. There are no matching paper backups, and no signs of external hacking. Local technicians believe a dormant subroutine—something from the haven’s early programming—was triggered during the vote."
TFTV_INCIDENT_36_CHOICE_0_C_M,Text,,Analyze the AI core and voting protocols. (Compute/Machinery)
TFTV_INCIDENT_36_CHOICE_1_P,Text,,Interview haven engineers and political coordinators. (Psycho-Sociology)
TFTV_INCIDENT_36_CHOICE_2,Text,,Stay out of it—Synedrion will handle its own democracy. [END]
TFTV_INCIDENT_36_OUTCOME_0_SUCCESS,Text,Reward: additional personnel,Our team uncovered a sealed protocol tagged ‘Crisis Override – Civic Continuity.’ It was part of the haven’s original design—meant to ensure governance during psychological or environmental destabilization. The conditions for activation had been quietly met weeks ago. Someone built this in… just in case.
TFTV_INCIDENT_36_OUTCOME_1_SUCCESS,Text,Reward: additional personnel,"An engineer admitted the haven was founded with contingency logic embedded into its civic AI—‘to preserve order if consensus failed.’ The override had never been used… until now. Officially, it doesn’t exist."
TFTV_INCIDENT_36_OUTCOME_0_FAIL,Text,,"We couldn’t isolate the exact trigger, but traces of an internal protocol override remain. It wasn’t sabotage. It was planned—deep in the system. Likely a failsafe from the haven’s original architects."
TFTV_INCIDENT_36_OUTCOME_1_FAIL,Text,,"Most officials were defensive. One coordinator finally admitted, ‘This haven was built to survive, not to collapse under idealism. We all knew that line would be crossed eventually.’"
TFTV_INCIDENT_37_TITLE_SY,Text,Req: Synedrion Recruit,Directive 11
TFTV_INCIDENT_37_DESC,Text,,"Director, [RequirementOperativeName] was sent some data by a Synedrion friend. It's a series of task logs from the [HavenName] civic AI. The pattern is disturbing: individuals flagged as ‘sub-optimally aligned’ were repeatedly assigned high-risk tasks—scavenging in mist zones, deep structural repairs, unshielded reclamation work. Officially, these were random civic assignments. Unofficially, most of those individuals are dead."
TFTV_INCIDENT_37_CHOICE_0_E_O,Text,,Conduct a full analysis of the task records. (Compute)
TFTV_INCIDENT_37_CHOICE_1_M_C,Text,,Quietly interview relatives of the deceased on the pretext of a health survey. (Psycho-Sociology/Biotech)
TFTV_INCIDENT_37_CHOICE_2,Text,,Leave it alone—Synedrion internal affairs. [END]
TFTV_INCIDENT_37_OUTCOME_0_SUCCESS,Text,Reward: additional personnel,The AI used a hidden behavioral compliance score. Those below a certain threshold were gradually funneled into dangerous roles. All within policy. All automated. The haven council may not even know.
TFTV_INCIDENT_37_OUTCOME_1_SUCCESS,Text,Reward: additional personnel,"Relatives spoke carefully. Many suspected something was wrong. ‘He asked one too many questions about food allocation. Next day, he was sent to reinforce the southern shield.’ The pattern is undeniable."
TFTV_INCIDENT_37_OUTCOME_0_FAIL,Text,,We found fragmented code—referencing something called Directive 11. The rest is encrypted. It’s clear someone programmed the system to make people disappear… slowly.
TFTV_INCIDENT_37_OUTCOME_1_FAIL,Text,,Few were willing to talk. One engineer simply said: ‘You don’t get assigned dangerous work for being difficult. But it sure helps.’ Fear runs deep here—under all the perfect glass and clean light.
TFTV_INCIDENT_38_TITLE_SY,Text,,Blindspot
TFTV_INCIDENT_38_DESC,Text,,"Director, a Synedrion security officer discreetly reached out. She believes the [HavenName] defenses are unprepared for a Pandoran breach—but every time she files a threat escalation, the AI downgrades the risk level. Patrols are reduced, supply caches reassigned. She suspects the system is deliberately underreporting threats."
TFTV_INCIDENT_38_CHOICE_0_C,Text,,Analyze the AI’s security response protocols. (Compute)
TFTV_INCIDENT_38_CHOICE_1_E_M,Text,,Investigate possible external tampering. (Exploration/Machinery)
TFTV_INCIDENT_38_CHOICE_2,Text,,Avoid interfering in Synedrion operations. [END]
TFTV_INCIDENT_38_OUTCOME_0_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 80 tech",We traced the issue to a hardcoded priority matrix: the AI was designed to deprioritize 'fear-inducing data' to avoid panic. All security reports were being rewritten for tone and perceived psychological impact. The danger wasn’t being ignored—just… softened. Critically.
TFTV_INCIDENT_38_OUTCOME_1_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 80 tech",We found traces of a breach. A small eco-extremist faction—believing fear of the Pandorans would be used to justify militarism—subtly rewrote the threat response code. The AI now prioritizes civil calm over survival. The council may never have noticed.
TFTV_INCIDENT_38_OUTCOME_0_FAIL,Text,,"Threat reports were routed through a cognitive dampening subroutine—officially to reduce false positives, but in practice, it downplayed critical data. It's unclear if this was design… or drift."
TFTV_INCIDENT_38_OUTCOME_1_FAIL,Text,,"No obvious breach, but we uncovered old subroutines modified weeks ago by an unregistered user. The edits shifted risk language from 'critical' to 'manageable.' Whether it's sabotage or ideology remains unclear."
TFTV_INCIDENT_39_TITLE_SY,Text,Req: haven has a Mist Repeller,The Sound of the Mist
TFTV_INCIDENT_39_DESC,Text,,"Director, the mist repellent at [HavenName] has gone offline following a targeted explosion. Initial reports describe it as sabotage—minimal casualties, but the core emitter was damaged. The council is split: some want immediate repairs, others suspect it was an inside job. A few locals claim they heard music playing just before the blast."
TFTV_INCIDENT_39_CHOICE_0_M,Text,,Help repair the Mist Repeller. (Machinery)
TFTV_INCIDENT_39_CHOICE_1_C_E,Text,,Investigate the sabotage. (Compute/Exploration)
TFTV_INCIDENT_39_CHOICE_2,Text,,Stay out of it. [END]
TFTV_INCIDENT_39_OUTCOME_0_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 80 tech",Our engineers worked with Synedrion techs to bring the Repeller back online. Full function restored. One technician found a message etched into the chassis: ‘You cannot repel what you refuse to understand.’ Security has been tightened.
TFTV_INCIDENT_39_OUTCOME_1_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 80 tech","We traced the attack to a small group of Polyphonic radicals calling themselves The Resonant Fold. They believe the Mist is not a threat, but a voice—the Repeller an act of spiritual violence. The bomber left behind a manifesto, comparing Mist Expulsion to ‘silencing the breath of Gaia.’ Three suspects have fled."
TFTV_INCIDENT_39_OUTCOME_0_FAIL,Text,,"We stabilized the core, but full range is limited. Local security remains on edge. Someone left a strange recording in the emitter logs—chanting layered with melodic feedback. It’s marked Polyphonic Archive – Redacted."
TFTV_INCIDENT_39_OUTCOME_1_FAIL,Text,,"We found fragments of a Polyphonic symbol near the emitter casing. A local council member admitted a ‘philosophical splinter’ had formed, but downplayed the danger. The Mist continues to creep in while the council debates how to respond."
TFTV_INCIDENT_40_TITLE_SY,Text,,The Voice Behind the Mask (Volonte Event 1)
TFTV_INCIDENT_40_DESC,Text,,"Director, there’s unrest brewing. A woman named Kara Volonte, a pre-Collapse media personality turned New Jericho spokesperson, has arrived to [HavenName] under the guise of hosting a public discourse on ‘civil resilience.’ In practice, she’s been calling for strict limits on mutant participation in governance and research. The unsettling part? She’s articulate, charismatic, and gaining support. Synedrion’s council is paralyzed—torn between upholding free expression and preserving internal unity."
TFTV_INCIDENT_40_CHOICE_0_B_P,Text,,Publicly challenge Kara Volonte’s rhetoric. (Biotech/Psycho-Sociology) 
TFTV_INCIDENT_40_CHOICE_1_C,Text,,Investigate her affiliations and funding. (Compute) 
TFTV_INCIDENT_40_CHOICE_2,Text,,Avoid involvement. Synedrion must decide. [END]
TFTV_INCIDENT_40_OUTCOME_0_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 80 tech","Our operatives exposed contradictions in her message—quotes from her earlier broadcasts praising 'evolutionary courage' before she aligned with New Jericho. Public support wavered. She’s still speaking, but the crowd is thinner."
TFTV_INCIDENT_40_OUTCOME_1_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 80 tech","We uncovered private transmissions between Kara and a New Jericho intelligence liaison—her campaign here was coordinated, seeded with talking points and subtle pressure. Synedrion authorities quietly asked her to leave, citing outside manipulation."
TFTV_INCIDENT_40_OUTCOME_0_FAIL,Text,,"We raised counterarguments, but her charm deflected them easily. Her language is coded, careful. She accuses us of censorship. The council remains deadlocked."
TFTV_INCIDENT_40_OUTCOME_1_FAIL,Text,,"We found traces of financial support routed through shell collectives tied to New Jericho. It’s enough to raise suspicion, but not expel her outright. She continues her campaign—framed now as ‘resistance to ideological oppression.’"
TFTV_INCIDENT_41_TITLE_SY,Text,Polyphonic tendency > Terraformer tendency,The Garden
TFTV_INCIDENT_41_DESC,Text,,"Synedrion representatives invite the Phoenix Project to examine a showcase they intend to present to the world.

Within a sealed biodome at the haven of [HavenName], they have cultivated a garden of flora and fauna altered by the Pandoravirus.

According to its creators, the specimens are harmless—some even beneficial to humans.

They claim the Garden proves that coexistence with Pandoran change is not only possible, but desirable."
TFTV_INCIDENT_41_CHOICE_0_B,Text,,"Examine the specimens directly.
(Biotech)"
TFTV_INCIDENT_41_CHOICE_1_C_E,Text,,"Search Phoenix records for prior encounters with similar organisms.
(Compute/Exploration)"
TFTV_INCIDENT_41_CHOICE_2,Text,,We don't have time for this. [END]
TFTV_INCIDENT_41_OUTCOME_0_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 500 Research","The specimens display a wide range of alteration.

Some are barely changed:
a grain plant with reinforced cellulose fibers that resists fungal blight,
a small mammal whose metabolism efficiently neutralizes trace toxins.

Others appear to be natural adaptations to Pandoran environments:
a moss that thrives in Mist-saturated air while filtering particulates,
insects that feed exclusively on mutated detritus without aggressive behavior.

Still, their practical benefits seem modest, and carefully constrained by the artificial conditions of the Garden."
TFTV_INCIDENT_41_OUTCOME_1_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 500 Research","Cross-referencing Phoenix exploration logs reveals familiar patterns.

Variations of nearly every specimen have been encountered before—sometimes thriving, sometimes failing, sometimes changing without warning.

In their current form and environment, the Garden’s inhabitants pose no immediate danger.

Yet experience suggests caution.

If there is one lesson the Pandoravirus has taught humanity, it is that adaptation is not a finished state.

Stability today does not guarantee harmlessness tomorrow."
TFTV_INCIDENT_41_OUTCOME_0_FAIL,Text,,"The examination is limited by access restrictions.

Several specimens are deemed too delicate or “symbolically important” to subject to invasive testing.

Without long-term observation or stress testing, conclusions remain provisional.

The Garden appears stable—for now."
TFTV_INCIDENT_41_OUTCOME_1_FAIL,Text,,"The data search yields incomplete results.

Many field reports lack follow-up entries, and several organisms defy clean classification.

The Garden’s curators insist this uncertainty is precisely why controlled experimentation matters.

Whether this is confidence or optimism is left to interpretation."
TFTV_INCIDENT_42_TITLE_SY,Text,Req: starving haven,Necessary Limits
TFTV_INCIDENT_42_DESC,Text,,"Synedrion representatives request Phoenix Project assistance with a sensitive internal matter.

The leader of the Synedrion haven of [HavenName] has begun publicly espousing Malthusian views, arguing that population growth must be curtailed for the greater good.

While some consider this a pragmatic response to scarcity, others fear it signals a deeper ideological shift."
TFTV_INCIDENT_42_CHOICE_0_C,Text,,"Gather and analyze available data on the haven’s situation.
(Compute approach)"
TFTV_INCIDENT_42_CHOICE_1_M_P,Text,,"Speak with the haven leader under the pretext of assisting with maintenance and logistics.
(Psycho-Sociology / Machinery approach)"
TFTV_INCIDENT_42_CHOICE_2,Text,,It's always factions within factions with Synedrion - let them sort it out themselves. [END]
TFTV_INCIDENT_42_OUTCOME_0_SUCCESS,Text,Reward: additional personnel,"The data paints a bleak picture.

Food production has fallen steadily for months. Scavenging missions to secure replacement parts and nutrients for the hydroponic systems have become increasingly dangerous—and increasingly unsuccessful.

There is simply not enough food to sustain the current population."
TFTV_INCIDENT_42_OUTCOME_1_SUCCESS,Text,Reward: additional personnel,"The meeting is smooth—almost too smooth.The haven leader is eloquent, reassuring, and confident. He speaks convincingly about balance, sustainability, and collective responsibility. Yet when the discussion turns to specifics—maintenance cycles, system dependencies, or manual overrides—his understanding falters. It becomes apparent that the haven functions largely through automation and AI. Incapable of changing material conditions, the leader instead seeks to redefine them, persuading the population that scarcity is not failure—but necessity."
TFTV_INCIDENT_42_OUTCOME_0_FAIL,Text,,"The available data is incomplete and heavily filtered.

Production metrics are aggregated beyond usefulness, and several key resource reports are missing entirely.

Whether this is deliberate obfuscation or systemic failure is impossible to determine.

Without clarity, speculation fills the gap."
TFTV_INCIDENT_42_OUTCOME_1_FAIL,Text,,"The conversation remains superficial.

Every attempt to probe deeper is deflected with prepared statements and ideological platitudes.

Technical questions are redirected to subcommittees that never respond.

The leader’s calm confidence leaves Phoenix with impressions—but no insight."
TFTV_INCIDENT_43_TITLE_SY,Text,Requirement: nearby liberated Anu infested haven,Strangers Among Us
TFTV_INCIDENT_43_DESC,Text,,"The inhabitants of [HavenName] are increasingly uneasy following the arrival of hundreds of refugees from the destroyed Anu haven of [RequirementHavenName].

As with most Synedrion settlements, [HavenName] relies heavily on automation. There is little meaningful work for the newcomers, and their unfamiliarity with the systems has already caused repeated disruptions.

Tensions are further strained by the refugees’ religious beliefs, which sit uneasily alongside Synedrion’s ideals of autonomy and secular governance.

Haven representatives request Phoenix Project assistance before the situation escalates."
TFTV_INCIDENT_43_CHOICE_0_C,Text,,"Assist the haven leadership in devising new integration protocols.
(Compute)"
TFTV_INCIDENT_43_CHOICE_1_E_P,Text,,"Spend time among the refugees to understand their concerns.
(Psycho-Sociology / Exploration approach)"
TFTV_INCIDENT_43_CHOICE_2,Text,,We don't have time for this. [END]
TFTV_INCIDENT_43_OUTCOME_0_SUCCESS,Text,Reward: additional personnel,"New training and access protocols are drafted to familiarize the refugees with the haven’s automated infrastructure.

Instruction helps reduce accidental damage, but it does little to address the deeper issue.

The question is not how systems function, but how people do.

Can a population accustomed to ritual obedience embrace freedom—or even tolerate it in others?"
TFTV_INCIDENT_43_OUTCOME_1_SUCCESS,Text,Reward: additional personnel,"Time spent among the refugees reveals a complex picture.

They are far from uniform; many were never fervent adherents of Anu doctrine.

Yet surrounded by strangers and stripped of familiar structures, they gravitate toward the most eloquent and charismatic religious speakers.

These figures gain influence quickly—and show little interest in relinquishing it."
TFTV_INCIDENT_43_OUTCOME_0_FAIL,Text,,"The proposed protocols prove too rigid and impersonal.

Refugees struggle to adapt to automated systems that offer no guidance beyond abstract instructions.

Frustration grows on both sides, reinforcing the belief that the newcomers are incompatible with Synedrion society.

Several systems are taken offline after repeated misuse, worsening the atmosphere further."
TFTV_INCIDENT_43_OUTCOME_1_FAIL,Text,,"The refugees are wary and defensive.

Phoenix operatives are seen as representatives of Synedrion authority rather than neutral observers.

Conversations collapse into rehearsed slogans and quiet suspicion.

Whatever grievances exist remain unspoken, hardening into resentment."
TFTV_INCIDENT_44_TITLE_SY,Text,,The Quiet Specimen
TFTV_INCIDENT_44_DESC,Text,,"Synedrion representatives report the capture of a Pandoran creature that has displayed no aggressive behavior since containment.

Speakers of the Polyphonic Tendency have seized upon the incident as evidence that coexistence with Pandorans may be possible.

Terraformers remain skeptical, warning against drawing conclusions from an isolated case.

Both factions have requested Phoenix Project involvement to examine the creature and assess the circumstances of its capture."
TFTV_INCIDENT_44_CHOICE_0_B_O,Text,,"Conduct a thorough biological examination of the specimen.
(Biotech / Occult approach)"
TFTV_INCIDENT_44_CHOICE_1_C,Text,,"Review all data related to the capture and containment.
(Compute)"
TFTV_INCIDENT_44_CHOICE_2,Text,,"We don't know where this sample came from nor how it was collected. This is Propaganda, not Science. [END]"
TFTV_INCIDENT_44_OUTCOME_0_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 500 Research","The specimen is identified as an Arthron, though markedly atypical in appearance.

Its facial structure is disturbingly humanoid, and its physiology shows extensive signs of age—at least twenty-five years by Phoenix estimates.

The carapace bears long-set stains of crude oil, embedded deep into the chitin.

Whatever this creature once was, it has survived far longer than most of its kind.

It is a fascinating specimen, but a poor foundation for broad conclusions about Pandoran behavior."
TFTV_INCIDENT_44_OUTCOME_1_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 500 Research","Records show the creature was discovered alone, disoriented, and wandering without apparent purpose.

It offered no resistance and did not react to nearby humans.

Capture involved repeated use of paralyzing weaponry, followed by continuous heavy sedation.

Containment logs indicate minimal response to external stimuli.

There is little evidence the specimen possesses awareness of who—or what—it is, or of its surroundings."
TFTV_INCIDENT_44_OUTCOME_0_FAIL,Text,,"The examination proves inconclusive.

Prolonged sedation and neural degradation have obscured meaningful biological markers.

The specimen’s condition appears less like adaptation and more like collapse.

Any attempt to classify its behavior risks mistaking decay for intent."
TFTV_INCIDENT_44_OUTCOME_1_FAIL,Text,,"The capture records are fragmented and selectively preserved.

Gaps in the logs coincide with changes in sedation protocols and containment procedures.

Whether this reflects incompetence or careful curation is impossible to determine.

What remains is insufficient to reconstruct the specimen’s original behavior."
