"Key","Type","English","Desc","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"PR_BC_HOMING_DRONE","Text","HOMING DRONE","","自导无人机","DRONE EXPLOSIF","LENKDRONE","","","ДРОН-МИНА","",""
"PR_BC_HOMING_DRONE_DESC","Text","Shoot your Spider Drone at the target. Next time the target takes damage the drone will explode causing blast damage in the area","","向目标发射你的蜘蛛无人机。下次目标受到伤害时，无人机会爆炸，对区域内造成爆炸伤害","Lance votre drone araignée sur la cible. La prochaine fois que la cible subira des dégâts, le drone explosera, infligeant des dégâts de zone.","Schieße mit deiner Spinnendrohne auf das Ziel. Wenn das Ziel das nächste Mal Schaden erleidet, explodiert die Drohne und verursacht Explosionsschaden in der Umgebung.","","","Выстрелить дроном-пауком в мишень. Если мишень получит урон, дрон взорвется","",""
"PR_BC_CAUTIOUS","Text","CAUTIOUS","","谨慎","PRUDENT","VORSICHTIG","","","ОСТОРОЖНЫЙ","",""
"PR_BC_CAUTIOUS_DESC","Text","Gain +20% accuracy and +10% stealth","","获得+20%精准和+10%潜行","Gagne +20 % de précision et +10 % de furtivité.","Erhalte +20% Genauigkeit und +10% Tarnung","","","Получить +20% точности и +10% скрытности","",""
"PR_BC_NEURAL_FEEDBACK","Text","NEURAL FEEDBACK","","神经反馈","RETOUR NEURAL","NEURALES FEEDBACK","","","НЕЙРОННАЯ СВЯЗЬ","",""
"PR_BC_NEURAL_FEEDBACK_DESC","Text","Gain 2AP the first time you daze an enemy during the turn","","本回合首次使敌人眩晕时获得2点行动力","Gagne 2 PA la première fois que vous étourdissez un ennemi pendant le tour.","Du erhältst 2 Aktionspunkte, wenn du im Laufe des Zuges zum ersten Mal einen Gegner benommen machst.","","","Если вы оглушили врага, получите 2 Очка Действий.
1 раз за ход","",""
"PR_BC_JAMMING_FIELD","Text","JAMMING FIELD","","干扰场","CHAMP D'INTERFÉRENCES","STÖRFELD","","","ГЛУШИЛКА","",""
"PR_BC_JAMMING_FIELD_DESC","Text","Enemies within 10 tiles have 50% fumble chance with firearms","","10格范围内的敌人使用火器时有50%失误几率","Les ennemis dans un rayon de 10 cases ont 50 % de chances de rater leurs tirs avec des armes à feu.","Feinde im Umkreis von 10 Feldern haben eine 50%ige Fehlfunktionschance beim Einsatz von Schusswaffen.","","","Враги в пределах 10 клеток получают 50% шанс отказа оружия","",""
"PR_BC_PARAPSYCHOSIS","Text","PARAPSYCHOSIS","","超感精神病","PARAPSYCHOSE","Parapsychose","","","ГИПНОЗ","",""
"PR_BC_PARAPSYCHOSIS_DESC","Text","Target human-sized enemy within 12 tiles becomes Wild","","目标12格内的人形敌人变为狂暴状态","La cible humanoïde située dans un rayon de 12 cases devient Folle.","Versetzt ein menschengroßes Ziel innerhalb von 12 Feldern in den Zustand wild. Das Ziel wird unkontrollierbar und greift alle Einheiten an, die nicht ebenfalls wild sind.","","","Врага человеческого размера в пределах 12 клеток охватывает Ярость (атакует всех вокруг без разбора)","",""
"PR_BC_ELECTRIC_REINFORCEMENT","Text","ELECTRIC REINFORCEMENT","","电能增援","RENFORCEMENT ÉLECTRIQUE","ELEKTRISCHE VERSTÄRKUNG","","","СИЛОВОЕ ПОЛЕ","",""
"PR_BC_ELECTRIC_REINFORCEMENT_DESC","Text","Give yourself and allies within 10 tiles a bonus of 10 armor for 1 turn. This effect does not stack","","给予自己和10格内的盟友1回合内+10护甲加成。该效果不可叠加","Vous conférez à vous-même et aux alliés dans un rayon de 10 cases un bonus de 10 d’armure pendant 1 tour. Cet effet ne se cumule pas.","Gewährt euch und Verbündeten im Umkreis von 10 Feldern für 1 Zug einen Rüstungsbonus von 10. Dieser Effekt ist nicht stapelbar.","","","Вы и союзники в радиусе 10 клеток получают +10 брони до начала следующего хода. Повторное применение не удваивает эффект","",""
"PR_BC_STABILITY","Text","STABILITY","","稳定性","STABILITÉ","STABILITÄT","","","МЕТКИЙ СТРЕЛОК","",""
"PR_BC_STABILITY_DESC","Text","Gain 10% extra accuracy per remaining AP up to 40%","","每剩余1点行动力获得10%额外精准，最高可达40%","Gagnez +10% de précision par PA restant, jusqu’à +40%.","Gewährt +10% zusätzliche Genauigkeit pro verbleibendem Aktionspunkt, bis zu maximal +40%.","","","Каждое не использованное Очко Действий добавляет 10% Точности (до 40% при 4х неиспользованных Очках Действий)","",""
"PR_BC_AMPLIFY_PAIN","Text","AMPLIFY","","痛觉放大","AMPLIFICATION","VERSTÄRKEN","","","МЕДИЦИНСКИЙ ДРОН","",""
"PR_BC_AMPLIFY_PAIN_DESC","Text","Until End of Turn gain +100% to healing and +50% to special damage (Acid, Paralysis, Viral, Poison)","","直到回合结束，治疗效果提升100%，特殊伤害（酸性、麻痹、病毒、中毒）提升50%","Jusqu’à la fin du tour, gagnez +100% de soins et +50% de dégâts spéciaux (Acide, Paralysie, Viral, Poison).","Bis zum Ende des Zuges +100% Heilung und +50% Spezialschaden (Säure, Lähmung, Virus, Gift).","","","До конца хода все лечение на 100% более эффективно. Атаки кислотой, вирусом, ядом и параличом эффективнее на 50%","",""
"PR_BC_BIOCHEMIST","Text","BIOCHEMIST","","生化专家","BIOCHIMISTE","BIOCHEMIKER","","","БИОХИМИК","",""
"PR_BC_BIOCHEMIST_DESC","Text","Viral, Paralysis, Poison and Acid damage increased by 25% for direct damage and 5% for grenades on each hit body part","","病毒、麻痹、中毒和酸性伤害提升25%，手雷对每个命中部位伤害提升5%","Les dégâts Viraux, de Paralysie, de Poison et d’Acide sont augmentés de 25% pour les dégâts directs et de 5% pour les grenades sur chaque membre touché.","Viren-, Lähmungs-, Gift- und Säureschaden werden um 25% bei direktem Schaden und um 5% bei Granaten erhöht – jeweils pro getroffenen Körperteil.","","","Атака кислотой, вирусом, ядом и параличом эффективнее на 25% при прямом уроне и на 5% при взрыве гранаты для каждой части тела","",""
"PR_BC_LAY_WASTE","Text","LAY WASTE","","毁灭","DÉVASTER","VERWÜSTEN","","","МЕНТАЛЬНАЯ АТАКА","",""
"PR_BC_LAY_WASTE_DESC","Text","If your current Willpower score is higher than target's deal 20 damage for each point of WP difference to a maximum of 200 damage","","如果你当前的意志力值高于目标，每点意志力差值造成20点伤害，最高可造成200点伤害","Si votre score de Volonté actuel est supérieur à celui de la cible, infligez 20 points de dégâts pour chaque point de différence de Volonté, jusqu’à un maximum de 200 points de dégâts.","Ist deine aktuelle Willenskraft höher als die des Ziels, verursachst du für jeden Punkt Unterschied 20 Schaden, bis zu maximal 200 Schaden.","","","Нанести 20 урона цели за каждое очко разницы между вашими Очками Воли (если ваши Очки Воли больше, чем у врага). Максимум 200 урона","",""
"PR_BC_ENDURANCE","Text","ENDURANCE","","耐力","ENDURANCE","AUSDAUER","","","ФЛЯГА С ПИВОМ","",""
