"Key","Type","Desc","English","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"VOID_OMEN_TITLE_10","Text","","No limit to Delirium, regardless of ODI level","谵妄无限制，无视梦魇谵妄（ODI）等级","Aucune limite au Delirium, quel que soit le niveau de l'indice (IDO)","Kein Delirium-Limit (unabhängig von der ODI-Stufe)","","","Негатив: Сонное Безумие не ограничено уровнем ИСБ (Индекса Сонного Безумия)","",""
"VOID_OMEN_TITLE_11","Text","","Behemoth disruption threshold increased","巨兽（Behemoth）干扰阈值提高","Augmentation du seuil de perturbation du Béhémoth","Die Störschwelle des Behemoths wurde erhöht","","","Негатив: количество Очков Разрушения, необходимых, чтобы Бегемот нырнул отдохнуть, увеличено","",""
"VOID_OMEN_TITLE_12","Text","","Strength of Pandoran attacks on Havens increased by 50%","潘多拉体对避难所的攻击强度提高50%","La force des attaques des Pandoriens sur les refuges est augmentée de 50%.","Stärke pandoranischer Angriffe auf Zufluchten +50%","","","Негатив: сила атак Пандоранов на убежища увеличена на 50%","",""
"VOID_OMEN_TITLE_13","Text","","New Pandoran Colonies are built 100% faster","潘多拉殖民地建设速度提升100%","Les nouvelles colonies pandoriennes sont construites 100 % plus rapidement.","Neue Kolonien entstehen doppelt so schnell","","","Негатив: новые колонии Пандоранов строятся на 100% быстрее","",""
"VOID_OMEN_TITLE_14","Text","","Human perception lowered to 20 from 30","人类感知从30降低至20","Perception humaine diminuée de 35 à 20","Menschliche Wahrnehmung 20 (statt 30)","","","Негатив: базовое восприятие людей снижено с 30 до 20","",""
"VOID_OMEN_TITLE_15","Text","","More Touched by the Void, but Umbra disappear after 1 turn","更多被虚空触碰者出现，但幽影（Umbra）1回合后消失","Plus d'Ombres","Mehr Leerenberührte, dafür verschwinden Umbras nach 1 Runde","","","Негатив: увеличилось количество Благословленных Пустотой 
Позитив: Фиолетовые Твари дохнут сами в конце хода","",""
"VOID_OMEN_TITLE_16","Text","","Touched by the Void can appear anywhere and Umbras can attack anyone","被虚空触碰者可出现在任何地点，幽影可攻击任何目标","Les Ombres peuvent apparaître n'importe où et attaquer n'importe qui","Leerenberührte erscheinen überall, Umbras greifen jeden an","","","Негатив: Благословленные Пустотой могут появиться где угодно, а Фиолетовые Твари могут напасть на кого угодно","",""
"VOID_OMEN_TITLE_17","Text","","Havens in Mist destroyed by Pandorans always become infested","迷雾中被潘多拉摧毁的避难所总是变成感染避难所","Les refuges détruits dans la brume deviennent toujours infestés","Zufluchten im Nebel werden bei pandoranischer Zerstörung immer verseucht","","","Негатив: разрушенные в Тумане убежища всегда становятся зараженными","",""
"VOID_OMEN_TITLE_18","Text","","Havens defense rating higher, rewards from haven defense missions lower","避难所防御评级提高，避难所防御任务奖励降低","Le taux de défense des refuges est plus élevé, mais les récompenses des missions de défense sont plus faibles.","Zufluchtsverteidigung erhöht, niedrigere Belohnungen für Verteidigungen","","","Негатив: награды за выполнение миссий по защите убежищ уменьшены.
Позитив: оборонительные возможности убежищ увеличены","",""
"VOID_OMEN_TITLE_19","Text","","Pandorans gain adaptive resistance, Bazaar prices reduced ","潘多拉体获得适应性抗性，市集（Bazaar）价格降低 ","Les Pandorans acquièrent une résistance évolutive réactive, le coût de la technologie du Bazar est réduit","Pandoraner erhalten adaptive Resistenz, Basarpreise sinken","","","Негатив: Пандораны приобрели адаптивную стойкость.
Позитив: снизились цены на Рынке","",""
"VOID_OMEN_TITLE_20","Text","","Behemoth can deploy experimental (lower strength) Abbadons","巨兽可以部署实验性（较低强度）阿巴顿","Le Behemoth peut déployer des Abbadons expérimentaux (de force inférieure).","Behemoth kann experimentelle (schwächere) Abaddons einsetzen","","","Бегемот может выпускать экспериментальные (с меньшей силой) летуны класса Аббадон","",""
"VOID_OMEN_DESCRIPTION_TEXT_1","Text","","Communication intercepts from both factions and independent scavenging teams show a spike in hostile encounters, correlating to an overall shift in focus towards foraging as a more relevant procurement source. We speculate that the existence of previously hidden caches has been revealed simultaneously to a number of groups, prompting a scramble to secure them.
","来自两个派系和独立拾荒队的通信拦截显示敌对遭遇激增，这与整体上将觅食作为更重要的采购来源的关注转移相吻合。我们推测，之前隐藏的储藏点的存在同时被多个团体发现，促使他们争相抢占。","<i>« Les rapports que nous interceptons des équipes de récupérateurs, qu'ils soient de faction ou indépendants, indiquent que cela devient plus dangereux là-bas... Mais nous verrons probablement plus de butin, car... moins de concurrence. »</i>","Abgehörte Kommunikationsaufzeichnungen beider Fraktionen und unabhängiger Plünderteams zeigen einen sprunghaften Anstieg feindseliger Begegnungen, was mit einer allgemeinen Verlagerung des Fokus hin zur Nahrungssuche als wichtigerer Beschaffungsquelle korreliert. Wir vermuten, dass die Existenz zuvor verborgener Vorräte gleichzeitig mehreren Gruppen bekannt wurde, was ein Wettrennen um deren Sicherung auslöste.","","","Перехваченные сообщения от поисковых отрядов фракций и вольных поселений свидетельствуют о росте числа столкновений. Наблюдается общее увеличение усилий в сторону поиска ресурсов, как наиболее более важного источника снабжения. Мы предполагаем, что о существовании ранее скрытых тайников стало известно одновременно нескольким группам, что и спровоцировало борьбу за них.","",""
"VOID_OMEN_DESCRIPTION_TEXT_2","Text","","Analysis of public feeds indicates a sudden onset of political apathy within the havens populace and political leadership. Under these circumstances it will be difficult to make headway with any faction towards goal alignment. However, the situation does present an opportunity for executing actions that were previously deemed prohibitively unpopular.","对公开信息流的分析显示避难所居民和政治领导层中突然出现政治冷漠。在这种情况下，与任何派系达成目标一致将变得困难。然而，这种局势也为执行此前被认为极不受欢迎的行动提供了机会。","<i>« Nous perdons notre boussole éthique, si nous en avons jamais eu une. »</i> ","Die Analyse öffentlicher Informationskanäle deutet auf einen abrupten Ausbruch politischer Apathie innerhalb der Bevölkerung und der politischen Führung der Zufluchten hin. Unter diesen Umständen wird es schwierig sein, mit irgendeiner Fraktion nennenswerte Fortschritte bei der Zielangleichung zu erzielen. Die Situation eröffnet jedoch die Möglichkeit, Maßnahmen umzusetzen, die zuvor als politisch nicht durchsetzbar galten.","","","Анализ публичных сообщений указывает на внезапное наступление политической апатии среди населения и политического руководства убежищ. В этих обстоятельствах будет трудно добиться прогресса с какой-либо фракцией в достижении общих целей. Однако сложившаяся ситуация предоставляет возможность для осуществления действий, которые ранее считались весьма непопулярными.","",""
"VOID_OMEN_DESCRIPTION_TEXT_3","Text","","We are now in a position to confirm that the feeling of persistent tiredness and increased difficulty in executing strenuous mental or physical tasks is exacerbated in stressful situations, most notably combat. No biochemical changes have been observed, however, and we are not able to clinically explain this condition nor treat it.","我们现在可以确认，持续的疲劳感和执行剧烈精神或体力任务的困难在压力情境中加剧，尤其是在战斗中。尚未观察到任何生化变化，我们无法临床解释或治疗这种状况。","<i>« C'est un cauchemar éveillé. Peut-on s'habituer aux cauchemars ? »</i> ","Wir können inzwischen bestätigen, dass das anhaltende Gefühl von Müdigkeit sowie die zunehmende Schwierigkeit, geistig oder körperlich anstrengende Aufgaben auszuführen, sich unter Stress deutlich verschärfen – insbesondere im Gefecht. Biochemische Veränderungen konnten bislang nicht festgestellt werden; eine klinische Erklärung oder Behandlung dieses Zustands ist derzeit nicht möglich.","","","Теперь мы можем подтвердить, что чувство постоянной усталости и неспособность выполнять напряженные умственные или физические задачи усиливаются в стрессовых ситуациях, особенно в бою. Однако никаких биохимических изменений не наблюдается, и мы не в состоянии объяснить это состояние с точки зрения медицины и вылечить его.","",""
"VOID_OMEN_DESCRIPTION_TEXT_4","Text","","Our analysis of the latest mission reports and debriefings shows a worrisome trend: our operatives are increasingly irritable and distrustful of each other, often choosing to perform tasks themselves rather than relying on their teammates.

<i>""Have you seen the latest psych-evals? 'Trust issues' is putting it mildly: they could start shooting each other any minute. If you want my advice, keep the combat units small, at least for a while.""</i>","我们对最新任务报告和总结的分析显示一个令人担忧的趋势：我们的干员越来越易怒且互不信任，常常选择自己完成任务而非依赖队友。

<i>“你看过最新的心理评估吗？‘信任问题’都不足以形容：他们随时可能互相开火。如果你问我建议，至少暂时保持战斗单位规模小一些。”</i>","<i>« Vous avez vu les derniers tests psychologiques ? Les « problèmes de confiance » sont un euphémisme : ils peuvent commencer à se tirer dessus à tout moment. Si vous voulez mon avis, gardez les unités de combat réduites, au moins pour un moment. »</i> ","Unsere Auswertung der jüngsten Einsatzberichte und Nachbesprechungen zeigt einen besorgniserregenden Trend: Unsere Einheiten reagieren zunehmend gereizt und misstrauisch gegenüber ihren Kameraden und ziehen es häufig vor, Aufgaben allein zu erledigen, anstatt sich auf ihr Team zu verlassen.

<i>„Schon die neuesten psychologischen Gutachten gesehen? ‚Vertrauensprobleme‘ ist noch milde ausgedrückt: Die könnten jeden Moment aufeinander schießen. Mein Rat: Die Kampfteams sollten vorerst klein gehalten werden.“</i>","","","Наш анализ последних отчетов о миссиях и разборов полетов выявил тревожную тенденцию: наши бойцы становятся все более раздражительными и недоверчивыми друг к другу, часто предпочитая выполнять задания самостоятельно, а не полагаться на своих товарищей по отряду.

<i>""Вы видели последние результаты психологических осмотров? ""Проблемы с доверием"" - это еще мягко сказано: они могут начать стрелять друг в друга в любую минуту. Если хотите мой совет, держите боевые подразделения небольшими, по крайней мере, в течение некоторого времени.""</i>","",""
"VOID_OMEN_DESCRIPTION_TEXT_5","Text","","We are receiving baffling reports that sizable contingents of haven inhabitants are convinced that the Pandoran attacks are being provoked by the Phoenix Project for ulterior motives, ranging from world domination to marauding. They are demanding the authorities provide weapons and other equipment to protect their homes. ","我们收到令人困惑的报告，大批避难所居民坚信潘多拉体的攻击是凤凰计划出于不可告人的目的所挑衅的，动机从世界统治到掠夺不等。他们要求当局提供武器和其他装备以保护家园。","<i>""Ils sont devenus paranoïaques ! Ils pensent que nous ne sommes pas là pour les défendre, mais pour prendre leurs biens. Honnêtement, je pense que nous devrions, juste pour leur donner une leçon.""</i> ","Uns erreichen verstörende Berichte, wonach größere Teile der Zufluchtsbevölkerung überzeugt sind, dass die Pandoraner-Angriffe vom Phoenix-Projekt aus eigennützigen Motiven provoziert werden – von Weltherrschaftsplänen bis hin zu schlichtem Raubzug. Die Bevölkerung fordert von den Behörden Waffen und Ausrüstung zur Selbstverteidigung.","","","Мы получаем сбивающие с толку сообщения о том, что значительное число жителей убежищ уверены, будто нападения Пандоранов провоцируются Проектом Феникс по самым разнообразным  мотивам, начиная от мирового господства и заканчивая мародерством. Они требуют от властей выдать оружие и прочую амуницию для защиты их домов.","",""
"VOID_OMEN_DESCRIPTION_TEXT_6","Text","","Observations on the field reveal that Pandorans are evolving and adapting to counter our tactics with uncanny velocity, even for Pandoran standards of rapid evolution. A fortunate side effect is that our scientists seem to have taken on the challenge.","现场观察显示潘多拉体以惊人的速度进化和适应，以对抗我们的战术，甚至超过潘多拉体快速进化的标准。一个幸运的副作用是我们的科学家似乎接受了这一挑战。","<i>""A quoi vous attendiez-vous ? Eux aussi sont capables d'apprendre de leurs erreurs.""</i> ","Feldbeobachtungen zeigen, dass sich Pandoraner mit außergewöhnlicher Geschwindigkeit weiterentwickeln, um unsere Taktiken zu kontern – selbst für pandoranische Maßstäbe. Eine erfreuliche Nebenwirkung ist, dass unsere Wissenschaftler diese Herausforderung offenbar mit neuem Eifer annehmen.","","","Наблюдения на местах показывают, что Пандораны эволюционируют и приспосабливаются к нашей тактике со сверхъестественной скоростью, даже по Пандоранским меркам ускоренной эволюции. Удачным побочным эффектом является то, что наши ученые, похоже, приняли это как челлендж.","",""
"VOID_OMEN_DESCRIPTION_TEXT_7","Text","","The repurposed weather satellites we have been using to monitor the Mist are showing manyfold higher concentrations of it in covered areas. Recommend augmenting standard deployment to maintain adequate situational awareness.

<i> ""It has nothing to do with meteorology. We know nothing about the Mist: why it moves, where to, why there is so much more of it all of a sudden. Yes, as a ""Mist Expert"" I admit I'm a fraud."" </i>","我们用来监测迷雾的改装气象卫星显示覆盖区域内迷雾浓度成倍增加。建议增强标准部署以保持足够的态势感知。

<i>“这与气象无关。我们对迷雾一无所知：它为何移动，往哪里去，为什么突然变得如此浓厚。是的，作为‘迷雾专家’，我承认自己是个骗子。”</i>","<i>""Cela n'a rien à voir avec la météorologie. Nous ne savons rien de la brume : pourquoi elle se déplace, où elle va, pourquoi il y en a tellement plus tout d'un coup. Oui, en tant qu'""expert en brouillard"", j'admets que je suis un imposteur.""</i> ","Die umfunktionierten Wettersatelliten zur Überwachung des Nebels zeigen eine um ein Vielfaches erhöhte Konzentration in betroffenen Gebieten. Es wird empfohlen, die Standard-Einsatzstärke zu erhöhen, um ein angemessenes Lagebewusstsein aufrechtzuerhalten.

<i>„Das hat nichts mit Meteorologie zu tun. Wir wissen nichts über den Nebel: Warum er sich bewegt, wohin, warum er plötzlich so viel stärker ist. Ja, als selbsternannter „Nebelexperte“ gebe ich zu, dass ich ein Scharlatan bin.“</i>","","","Перепрофилированные метеорологические спутники, которые мы использовали для мониторинга Тумана, показывают, что его концентрация в некоторых районах во много раз выше предполагаемой. Рекомендуем усилить стандартные отряды для обеспечения адекватного реагирования.

<i> ""Это не имеет никакого отношения к метеорологии. Мы ничего не знаем о Тумане: почему он движется, куда направляется, почему его вдруг стало так много. Да, как «Эксперт по Туману», я признаю, что я не всеведущ."" </i>","",""
"VOID_OMEN_DESCRIPTION_TEXT_7_ALT","Text","","The repurposed weather satellites we have been using to monitor the Mist are detecting significantly expanded coverage in affected areas, though the Mist itself appears to be less densely concentrated.

<i> ""It has nothing to do with meteorology. We know nothing about the Mist: why it moves, where to, why there is so much more of it all of a sudden. Yes, as a ""Mist Expert"" I admit I'm a fraud."" </i>","我们用来监测迷雾的改装气象卫星检测到受影响区域覆盖范围显著扩大，尽管迷雾本身的浓度似乎较低。

<i>“这与气象无关。我们对迷雾一无所知：它为何移动，往哪里去，为什么突然变得如此浓厚。是的，作为‘迷雾专家’，我承认自己是个骗子。”</i>","Les satellites météorologiques réutilisés que nous utilisons pour surveiller la Brume détectent une couverture nettement étendue dans les zones touchées, bien que la Brume elle-même semble moins dense.

<i> « Cela n’a rien à voir avec la météorologie. Nous ne savons rien de la Brume : pourquoi elle se déplace, vers où, et pourquoi il y en a soudainement beaucoup plus. Oui, en tant que ‘spécialiste de la Brume’, j’admets que je suis un imposteur. »</i>","Die umfunktionierten Wettersatelliten, die wir zur Überwachung des Nebels einsetzen, erfassen eine deutlich größere Ausdehnung des Nebels in den betroffenen Gebieten, obwohl der Nebel selbst weniger dicht zu sein scheint.

<i>„Das hat nichts mit Meteorologie zu tun. Wir wissen nichts über den Nebel: Warum er sich bewegt, wohin, warum er plötzlich so viel stärker ist. Ja, als selbsternannter „Nebelexperte“ gebe ich zu, dass ich ein Scharlatan bin.“</i>","","","Перепрофилированные метеорологические спутники, которые мы использовали для мониторинга Тумана, показывают значительное расширение зоны покрытия в пострадавших районах, хотя сам Туман, по-видимому, менее плотный.

<i> ""Это не имеет никакого отношения к метеорологии. Мы ничего не знаем о Тумане: почему он движется, куда направляется, почему его вдруг стало так много. Да, как «Эксперт по Туману», я признаю, что я не всеведущ."" </i>","",""
"VOID_OMEN_DESCRIPTION_TEXT_8","Text","","Reports from our sources in New Jericho indicate that the faction is implementing enhanced security protocols and increased scrutiny of outside contacts. Surprisingly, our intelligence shows that this behavior is being mirrored by the Disciples of Anu and Synedrion.

<i> ""Them and us, we can't help but see the world that way. Odd how sometimes that peaks and we forget that we are all part of the same species. A species that is currently facing extinction.""</i>","来自新耶利哥的消息显示该派系正在实施加强的安全协议并加大对外部联系的审查。令人惊讶的是，我们的情报显示阿努门徒和平衡议会也在采取类似行为。

<i>“他们和我们，我们总是这样看待世界。有趣的是，有时这种看法达到顶峰，我们忘记了我们都是同一个物种——一个正面临灭绝的物种。”</i>","<i>""Eux et nous, on ne peut s'empêcher de voir le monde de cette façon. C'est étrange comme parfois cela culmine et nous oublions que nous faisons tous partie de la même espèce. Une espèce qui est actuellement en voie d'extinction.""</i> ","Berichte aus Neu-Jericho zeigen, dass die Fraktion verschärfte Sicherheitsprotokolle und eine stärkere Überwachung externer Kontakte eingeführt hat. Überraschenderweise spiegeln die Jünger des Anu und Synedrion dieses Verhalten.

<i>„Wir und sie, wir können nicht anders, als die Welt so zu sehen. Seltsam, wie wir manchmal in dieser Denkweise versinken und vergessen, dass wir alle derselben Spezies angehören. Einer Spezies, die vom Aussterben bedroht ist.“</i>","","","Наши источники в Новом Иерихоне сообщают, что фракция внедряет дополнительные протоколы безопасности и усиливает контроль внешних контактов. Удивительно, но наша разведка докладывает, что тоже самое делают Последователи Ану и Синедрион.

<i>""Они - не мы, и мы не можем воспринимать мир так, как они. Однако, иногда это захватывает нас так сильно, что легко забыть: все мы являемся частью одного и того же вида. Вида, который в настоящее время находится на грани вымирания.""</i>","",""
"VOID_OMEN_DESCRIPTION_TEXT_9","Text","","We are receiving reports of a high number of sightings of sizable Pandoran concentrations in the vicinity of havens. Our conclusion is that we are entering a more active phase of Pandoran aggression against remaining centers of population.

<i> ""I would say they are off the leash now, but, if so, who was holding it?""</i>","我们收到报告称，在避难所附近发现大量潘多拉体聚集。我们的结论是，我们正进入潘多拉体对剩余人口中心更为活跃的攻击阶段。

<i>“我本想说它们现在已经脱缰了，但如果真是这样，之前是谁拴着它们？”</i>","<i>""C'est un cauchemar éveillé. Tu peux t'habituer aux cauchemars ?""</i>","Unsere Erkenntnisse weisen auf eine stark erhöhte Anzahl pandoranischer Verbände in der Nähe von Zufluchten hin. Wir treten offenbar in eine neue Phase offener Aggression gegen die verbliebenen Zentren der Menschheit ein.

<i>„Ich würde sagen, sie sind von der Leine gelassen – aber wer hielt sie zuvor?“</i>","","","Мы получаем сообщения о большом количестве случаев обнаружения значительных скоплений Пандоранов вблизи убежищ. Похоже, мы вступаем в более активную фазу агрессии Пандоранов против оставшихся поселений.

<i> ""Я бы сказал, что они совсем сорвались с поводка, но если это так, то кто же его держал?""</i>","",""
"VOID_OMEN_DESCRIPTION_TEXT_10","Text","","Our operatives are exhibiting symptoms akin to myalgic encephalitis, or chronic fatigue syndrome. Field observation and medical examinations confirm strong correlation with prolonged exposure to the Mist.","我们的干员表现出类似肌痛性脑脊髓炎或慢性疲劳综合症的症状。现场观察和医学检查证实，这与长时间暴露于迷雾有很强的相关性。","<i>Je ne peux pas me réveiller Je ne peux pas me réveiller Je ne peux pas me réveiller <b>JE NE PEUX PAS ME REVEILLER</b></i>","Unsere Einheiten zeigen Symptome, die einer myalgischen Enzephalitis bzw. dem chronischen Erschöpfungssyndrom ähneln. Feldbeobachtungen und medizinische Untersuchungen bestätigen eine starke Korrelation mit längerer Nebelexposition.","","","У наших бойцов наблюдаются симптомы, похожие на миалгический энцефалит или синдром хронической усталости. Полевые наблюдения и медицинские осмотры подтверждают устойчивую связь этих симптомов с длительным пребыванием в Тумане.","",""
"VOID_OMEN_DESCRIPTION_TEXT_11","Text","","Pattern analysis of the Behemoth creature and of its surrounding ecology suggests longer periods of above-surface activity for an indeterminate period of time.

<i>""Could this be another milestone in its evolution? Will we be seeing the marine-origin airborne creatures in the 'Festering Skies' walking on land next? I certainly hope not.</i>”","对巨兽及其周围生态的模式分析表明，其地表活动时间将延长，具体时长尚不确定。

<i>“这会是它进化的又一个里程碑吗？我们会不会接下来看到‘腐烂天空’中起源于海洋的飞行生物开始在陆地上行走？我真心希望不会。”</i>","<i>Il ne veut pas s'arrêter</i>","Die Musteranalyse des Behemoth-Wesens und seiner umgebenden Ökologie deutet auf längere Phasen der Aktivität über der Oberfläche für einen unbestimmten Zeitraum hin.

<i>„Ist das ein weiterer Evolutionsschritt? Werden wir die aus dem Meer stammenden, fliegenden Kreaturen aus ‚Faulenden Himmeln‘ als Nächstes an Land sehen? Ich hoffe es nicht.“</i>","","","Анализ структуры этого гигантского существа и окружающей его экологии позволяет предположить более длительные периоды активности в течение неопределенного периода времени.

<i>""Может ли это быть еще одной вехой в его эволюции? Не увидим ли мы в следующий раз летающих существ морского происхождения из ""Гнойного Неба"", внезапно разгуливающими по суше? Я, конечно, надеюсь, что нет.""</i>","",""
"VOID_OMEN_DESCRIPTION_TEXT_12","Text","","Our intelligence shows that the number of Pandorans involved in the attacks against the havens has increased substantially. We speculate that they must be trying to overcome the haven defenses by brute force. Unless other circumstances concur, this simple strategy might prove highly effective.","我们的情报显示，参与攻击避难所的潘多拉体数量大幅增加。我们推测它们正试图通过蛮力突破避难所防御。除非出现其他情况，否则这种简单策略可能非常有效。","<i>Ils nous envoient tout ce qu'ils ont</i>","Die Anzahl der an Angriffen auf Zufluchten beteiligten Pandoraner hat deutlich zugenommen. Offenbar versuchen sie, die Verteidigungsanlagen durch schiere Masse zu überwältigen – eine Strategie, die sich als äußerst effektiv erweisen könnte.","","","Наша разведка докладывает, что число Пандоранов, участвующих в нападениях на убежища, значительно увеличилось. Мы предполагаем, что они, должно быть, получили приказ прорваться любой ценой. Очень может быть, что эта простая стратегия окажется весьма эффективной.","",""
"VOID_OMEN_DESCRIPTION_TEXT_13","Text","","Overhead imagery and field observations confirm our previous suspicions that the Pandorans are using predominantly lower evolution tier creatures to build their colonies, the basic Arthron claw being the main digging utensil. Startlingly, these digging operations have experienced a dramatic increase in number and intensity.","空中影像和现场观察证实了我们之前的怀疑：潘多拉体主要使用较低进化等级的生物来建造殖民地，基本的节肢爪是主要的挖掘工具。令人震惊的是，这些挖掘活动的数量和强度都显著增加。","<i>""Ecoutez, les Colonies Pandoriennes ne se créent pas par hasard... Elles suivent un certain modèle ; je ne peux pas vous dire lequel car nous ne le comprenons pas... pour le moment. Mais je peux vous dire que quelque chose a changé.""</i>","Luftaufklärung und Feldberichte bestätigen unsere früheren Vermutungen, dass die Pandoraner überwiegend niedrig entwickelte Kreaturen zum Bau neuer Kolonien einsetzen, wobei die einfache Arthron-Klaue das wichtigste Grabwerkzeug darstellt. Besonders auffällig ist der massive Anstieg dieser Grabungsaktivitäten in Umfang und Intensität.","","","Снимки с воздуха и полевые наблюдения подтверждают наши прежние подозрения о том, что Пандораны используют преимущественно существ более низкого эволюционного уровня для создания своих колоний, а основным строительным инструментом является клешня Артрона. Поразительно, но количество и интенсивность этих землеройных работ резко возросли.","",""
"VOID_OMEN_DESCRIPTION_TEXT_14","Text","","According to recent field reports we have begun experiencing unexplainable shortcomings in our situational awareness during combat operations. Further analysis and experimentation at our research facilities has led us to an unexpected conclusion: this is a species-wide perception reducing effect tied to an unknown neurological condition.  

<i>Have you noticed how things look less substantial these days? Like they were covered in fog, or made of cotton candy. Maybe it's just me.</i>","根据最新现场报告，我们在战斗行动中开始经历无法解释的态势感知缺失。进一步分析和研究设施的实验得出意外结论：这是一种与未知神经系统疾病相关的全物种感知降低效应。

<i>你有没有注意到最近事物看起来不那么实在了？就像被雾气笼罩，或者像棉花糖做的。也许只是我一个人的感觉。</i>","<i>Avez-vous remarqué que les choses ont l'air moins importantes de nos jours ? Comme si elles étaient couvertes de brouillard ou faites de barbe à papa. Peut-être que c'est juste moi.</i>","Laut jüngsten Feldberichten treten bei uns während Kampfeinsätzen unerklärliche Defizite in unserer Lageerkennung auf. Weitere Analysen und Experimente in unseren Forschungseinrichtungen haben uns zu einer unerwarteten Schlussfolgerung geführt: Es handelt sich um einen die gesamte Spezies betreffenden Wahrnehmungsverlust, der mit einer unbekannten neurologischen Erkrankung zusammenhängt.

<i><color=#e8bcf0>„Schon aufgefallen, dass sich alles weniger real anfühlt? Wie in Nebel gehüllt oder aus Zuckerwatte. Eventuell ist das aber auch nur Einbildung.“</color></i>","","","Согласно поступающим докладам, мы начали испытывать необъяснимые проблемы в боях. Дальнейший анализ и эксперименты в наших исследовательских центрах привели нас к неожиданному выводу: это эффект снижения восприятия в масштабах всего вида, связанный с неизвестным неврологическим заболеванием.

<i>""Вы замечали, что в последнее время все выглядит менее материальным? Как будто все покрыто туманом или сделано из сахарной ваты. Может, это только у меня так?""</i>","",""
